metric,type,baseline_mean,current_mean,baseline_std,current_std,psi,z_score,drift_level,drift_flag
total_logins,feature,258.9528,258.9528,167.92622240781813,167.92622240781813,0.0,0.0,none,False
logins_last_30d,feature,13.1996,13.1996,5.148024848424879,5.148024848424879,0.0,0.0,none,False
logins_prev_30d,feature,14.2152,14.2152,4.715855061386005,4.715855061386005,0.0,0.0,none,False
engagement_trend,feature,-0.03574442072333175,-0.03574442072333175,0.327431931091256,0.327431931091256,0.0,0.0,none,False
avg_session_minutes,feature,28.254620305199392,28.254620305199392,9.599408884494729,9.599408884494729,0.0,0.0,none,False
session_minutes_trend,feature,-0.034016160532430104,-0.034016160532430104,0.18247803761745465,0.18247803761745465,0.0,0.0,none,False
active_days,feature,286.144,286.144,177.8125756632528,177.8125756632528,0.0,0.0,none,False
total_purchases,feature,51.9424,51.9424,34.46068894029833,34.46068894029833,0.0,0.0,none,False
purchases_last_30d,feature,2.5172,2.5172,1.8995010292179364,1.8995010292179364,0.0,0.0,none,False
purchases_prev_30d,feature,2.7624,2.7624,1.8413979037676784,1.8413979037676784,0.0,0.0,none,False
purchase_frequency,feature,2.8873512562377903,2.8873512562377903,0.9759923128639179,0.9759923128639179,0.0,0.0,none,False
purchase_frequency_trend,feature,0.16413323232323232,0.16413323232323232,0.9163080250235376,0.9163080250235376,0.0,0.0,none,False
avg_order_value,feature,38.020803471853945,38.020803471853945,10.855598476461624,10.855598476461624,0.0,0.0,none,False
total_spend,feature,1976.696936,1976.696936,1348.3405906384232,1348.3405906384232,0.0,0.0,none,False
spend_trend,feature,1.1192068339963654,1.1192068339963654,4.443032966484252,4.443032966484252,0.0,0.0,none,False
distinct_product_categories,feature,5.994,5.994,0.09572878355019457,0.09572878355019457,0.0,0.0,none,False
support_tickets_count,feature,4.1856,4.1856,3.6769488220534154,3.6769488220534154,0.0,0.0,none,False
active_weeks_ratio,feature,0.9867804355180113,0.9867804355180113,0.028963249357547516,0.028963249357547516,0.0,0.0,none,False
late_or_missed_payments,feature,0.0,0.0,0.0,0.0,0.0,0.0,none,False
days_since_last_activity,feature,2.7084,2.7084,3.040685685828116,3.040685685828116,0.0,0.0,none,False
activity_gap_std,feature,1.4071142366482843,1.4071142366482843,0.5613213396183084,0.5613213396183084,0.0,0.0,none,False
coefficient_of_variation_sessions,feature,0.25989187734717517,0.25989187734717517,0.03095270285399417,0.03095270285399417,0.0,0.0,none,False
tenure_months,feature,17.66358738501971,17.66358738501971,9.927939748337671,9.927939748337671,0.0,0.0,none,False
recency_days,feature,2.7084,2.7084,3.040685685828116,3.040685685828116,0.0,0.0,none,False
monthly_fee,feature,19.534000000000002,19.534000000000002,11.21570613024432,11.21570613024432,0.0,0.0,none,False
churn_rate,rate,0.182,0.182,,,,0.0,none,False
prediction_rate,rate,0.204,0.204,,,,0.0,none,False
