threshold,precision,recall,f1,accuracy,predicted_churn_rate,meets_precision_floor,selected
0.62,0.7924528301886793,0.46153846153846156,0.5833333333333334,0.88,0.106,True,False
0.63,0.7884615384615384,0.45054945054945056,0.5734265734265734,0.878,0.104,True,False
0.64,0.803921568627451,0.45054945054945056,0.5774647887323944,0.88,0.102,True,False
0.65,0.8,0.43956043956043955,0.5673758865248227,0.878,0.1,True,False
0.66,0.8163265306122449,0.43956043956043955,0.5714285714285714,0.88,0.098,True,False
0.67,0.8125,0.42857142857142855,0.5611510791366906,0.878,0.096,True,False
0.68,0.8125,0.42857142857142855,0.5611510791366906,0.878,0.096,True,False
0.69,0.8043478260869565,0.4065934065934066,0.5401459854014599,0.874,0.092,True,False
0.7,0.8043478260869565,0.4065934065934066,0.5401459854014599,0.874,0.092,True,False
0.71,0.8372093023255814,0.3956043956043956,0.5373134328358209,0.876,0.086,True,False
0.72,0.8571428571428571,0.3956043956043956,0.5413533834586466,0.878,0.084,True,False
0.73,0.8536585365853658,0.38461538461538464,0.5303030303030303,0.876,0.082,True,False
0.74,0.868421052631579,0.3626373626373626,0.5116279069767442,0.874,0.076,True,False
0.75,0.868421052631579,0.3626373626373626,0.5116279069767442,0.874,0.076,True,False
0.76,0.9142857142857143,0.3516483516483517,0.5079365079365079,0.876,0.07,True,False
0.77,0.9375,0.32967032967032966,0.4878048780487805,0.874,0.064,True,False
0.78,0.9354838709677419,0.31868131868131866,0.47540983606557374,0.872,0.062,True,False
0.79,0.9354838709677419,0.31868131868131866,0.47540983606557374,0.872,0.062,True,False
0.8,0.9655172413793104,0.3076923076923077,0.4666666666666667,0.872,0.058,True,False
0.81,0.96,0.26373626373626374,0.41379310344827586,0.864,0.05,True,False
0.82,0.9565217391304348,0.24175824175824176,0.38596491228070173,0.86,0.046,True,False
0.83,0.9545454545454546,0.23076923076923078,0.37168141592920356,0.858,0.044,True,False
0.84,0.9523809523809523,0.21978021978021978,0.35714285714285715,0.856,0.042,True,False
0.85,0.95,0.2087912087912088,0.34234234234234234,0.854,0.04,True,False
0.86,0.9444444444444444,0.18681318681318682,0.3119266055045872,0.85,0.036,True,False
0.87,0.9444444444444444,0.18681318681318682,0.3119266055045872,0.85,0.036,True,False
0.88,0.9411764705882353,0.17582417582417584,0.2962962962962963,0.848,0.034,True,False
0.89,0.9375,0.16483516483516483,0.2803738317757009,0.846,0.032,True,False
0.9,0.9375,0.16483516483516483,0.2803738317757009,0.846,0.032,True,False
0.91,0.9166666666666666,0.12087912087912088,0.21359223300970873,0.838,0.024,True,False
0.92,0.9,0.0989010989010989,0.1782178217821782,0.834,0.02,True,False
0.93,0.9,0.0989010989010989,0.1782178217821782,0.834,0.02,True,False
0.94,0.8888888888888888,0.08791208791208792,0.16,0.832,0.018,True,False
0.95,0.6666666666666666,0.02197802197802198,0.0425531914893617,0.82,0.006,True,False
