model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,selected
Logistic Regression,0.881,0.007348469228349503,0.6289357904076237,0.020549624794535908,0.848896499238965,0.03356509506409738,0.7219215823352998,0.015107651197904878,0.929196034588692,0.02274694615078487,False
Random Forest,0.932,0.008573214099741114,0.91405348464172,0.028066243204145056,0.6923896499238965,0.04742512248679132,0.7868011071433908,0.031086985724590437,0.9333015472647185,0.020943352342499645,True
Gradient Boosting,0.9255000000000001,0.00796868872525462,0.7873914343665488,0.027910962332744562,0.8132420091324202,0.07214611872146119,0.797581243203784,0.030209958949221804,0.9314842483719232,0.02029665539045221,False
